Provincia,Mbps (Media de bajada),Velocidad_Promedio_Provincia,Nueva_Velocidad,KPI_Aumento_Velocidad
San Luis,19.33,28.98381675858839,20.296499999999998,5.0
San Luis,19.32,28.98381675858839,20.286,5.000000000000006
San Luis,20.95,28.98381675858839,21.9975,4.999999999999997
San Luis,20.9097244480146,28.98381675858839,21.95521067041533,4.9999999999999964
Chubut,8.1768603631366,8.194332114660515,8.58570338129343,4.999999999999999
Mendoza,13.3651561731845,14.867812320279436,14.033413981843726,5.000000000000003
San Juan,7.04130082039497,8.850696587126581,7.393365861414719,5.000000000000007
San Luis,21.6987070711638,28.98381675858839,22.78364242472199,5.000000000000003
Santa Cruz,7.69232694181298,8.40829398214465,8.07694328890363,5.000000000000011
Chubut,7.67690621713348,8.194332114660515,8.060751527990154,5.000000000000008
Entre Ríos,27.6189730620356,27.630179819463983,28.999921715137383,5.000000000000009
Mendoza,13.465987205003,14.867812320279436,14.13928656525315,4.999999999999999
Misiones,28.6822217353969,28.90183042687181,30.116332822166747,5.0000000000000036
San Juan,6.99316260162602,8.850696587126581,7.342820731707321,5.000000000000001
San Luis,21.6618899896392,28.98381675858839,22.744984489121162,5.0000000000000115
Santa Cruz,7.6296670052024,8.40829398214465,8.01115035546252,5.000000000000009
Santiago Del Estero,12.7187978386833,13.205254673844061,13.354737730617465,5.000000000000009
Chubut,7.5315274091442,8.194332114660515,7.908103779601411,5.000000000000009
Corrientes,25.9851713597201,29.335323255693304,27.284429927706103,5.0
Entre Ríos,23.8713343731836,27.630179819463983,25.06490109184278,5.000000000000003
Formosa,20.9803275069752,23.28657364915028,22.02934388232396,5.0
La Rioja,12.6975547321819,20.79586006879485,13.332432468790994,5.0
Mendoza,12.5993612452542,14.867812320279436,13.22932930751691,5.0000000000000036
Misiones,25.0768261260814,28.90183042687181,26.33066743238547,5.000000000000006
Río Negro,21.923906760831,22.761131735454708,23.02010209887255,5.000000000000001
San Juan,6.91008999538207,8.850696587126581,7.255594495151174,5.0
San Luis,21.5943798047108,28.98381675858839,22.674098794946342,5.000000000000006
Santa Cruz,7.50153184753176,8.40829398214465,7.876608439908349,5.000000000000009
Santa Fe,28.1306300731529,29.291079513758643,29.537161576810547,5.000000000000005
Santiago Del Estero,11.5841745164981,13.205254673844061,12.163383242323006,5.0000000000000036
Chaco,32.452046764181,32.95065270309209,34.07464910239005,4.9999999999999964
Chubut,7.38308762641474,8.194332114660515,7.752242007735478,5.000000000000009
Corrientes,25.4467008966306,29.335323255693304,26.71903594146213,5.000000000000009
Entre Ríos,24.0532782530605,27.630179819463983,25.255942165713527,5.000000000000005
Formosa,19.6983490087788,23.28657364915028,20.68326645921774,5.000000000000012
La Rioja,12.5346559805983,20.79586006879485,13.161388779628215,4.999999999999998
Mendoza,11.0931713194572,14.867812320279436,11.647829885430061,5.000000000000012
Misiones,24.9566177796804,28.90183042687181,26.204448668664423,5.0000000000000115
Río Negro,21.63671918985,22.761131735454708,22.718555149342503,5.000000000000006
Salta,25.3224396507447,25.51226914594281,26.588561633281934,5.000000000000003
San Juan,6.41286739795318,8.850696587126581,6.73351076785084,5.00000000000001
San Luis,21.2529540821891,28.98381675858839,22.315601786298554,5.000000000000002
Santa Cruz,7.49210862811905,8.40829398214465,7.866714059525003,5.000000000000001
Santa Fe,27.2943524462156,29.291079513758643,28.659070068526383,5.000000000000004
Santiago Del Estero,11.280765527512,13.205254673844061,11.844803803887599,4.999999999999998
Chaco,30.8027269485642,32.95065270309209,32.34286329599241,4.999999999999997
Chubut,7.40207444184479,8.194332114660515,7.7721781639370295,5.000000000000002
Córdoba,33.5111949741979,35.07736611619202,35.18675472290779,4.9999999999999964
