Año,Trimestre,Provincia,Accesos por cada 100 hogares,Fecha,Nuevo_acceso,KPI_Aumento_Acceso
2024,2,Catamarca,68.81,2024-04-01,70.1862,1.9999999999999958
2024,2,Chaco,44.06,2024-04-01,44.9412,1.9999999999999993
2024,2,Corrientes,51.38,2024-04-01,52.4076,1.9999999999999991
2024,2,Entre Ríos,68.64,2024-04-01,70.0128,1.9999999999999973
2024,2,Formosa,39.69,2024-04-01,40.483799999999995,1.9999999999999933
2024,2,Jujuy,58.3,2024-04-01,59.466,2.000000000000007
2024,2,Mendoza,52.3,2024-04-01,53.346,1.9999999999999991
2024,2,Misiones,57.73,2024-04-01,58.8846,2.000000000000004
2024,2,Río Negro,71.35,2024-04-01,72.777,2.0000000000000093
2024,2,Salta,55.72,2024-04-01,56.8344,2.000000000000006
2024,2,San Juan,51.17,2024-04-01,52.193400000000004,2.0000000000000044
2024,2,Santa Cruz,69.92,2024-04-01,71.3184,1.9999999999999931
2024,2,Santiago Del Estero,49.67,2024-04-01,50.6634,2.000000000000002
2024,2,Tucumán,60.84,2024-04-01,62.0568,1.9999999999999987
2024,1,Catamarca,68.82,2024-01-01,70.1964,2.0000000000000058
2024,1,Chaco,46.7,2024-01-01,47.634,1.9999999999999944
2024,1,Corrientes,51.94,2024-01-01,52.9788,2.000000000000004
2024,1,Entre Ríos,69.31,2024-01-01,70.6962,2.000000000000003
2024,1,Formosa,39.61,2024-01-01,40.4022,2.0000000000000027
2024,1,Jujuy,57.65,2024-01-01,58.803,1.9999999999999976
2024,1,Mendoza,52.59,2024-01-01,53.6418,2.0
2024,1,Misiones,56.76,2024-01-01,57.895199999999996,1.9999999999999958
2024,1,Río Negro,71.14,2024-01-01,72.5628,1.9999999999999931
2024,1,Salta,56.3,2024-01-01,57.425999999999995,1.9999999999999958
2024,1,San Juan,51.62,2024-01-01,52.6524,2.0000000000000053
2024,1,Santa Cruz,67.58,2024-01-01,68.9316,2.000000000000007
2024,1,Santiago Del Estero,49.41,2024-01-01,50.398199999999996,1.9999999999999982
2024,1,Tucumán,60.48,2024-01-01,61.6896,2.000000000000003
2023,4,Catamarca,68.63,2023-10-01,70.0026,2.0000000000000084
2023,4,Chaco,44.35,2023-10-01,45.237,2.000000000000001
2023,4,Corrientes,52.56,2023-10-01,53.611200000000004,2.0000000000000027
2023,4,Entre Ríos,69.94,2023-10-01,71.33879999999999,1.9999999999999918
2023,4,Formosa,39.23,2023-10-01,40.014599999999994,1.9999999999999938
2023,4,Jujuy,57.78,2023-10-01,58.9356,1.9999999999999993
2023,4,Mendoza,52.15,2023-10-01,53.193,1.9999999999999987
2023,4,Misiones,56.27,2023-10-01,57.3954,1.9999999999999982
2023,4,Río Negro,70.26,2023-10-01,71.66520000000001,2.0000000000000107
2023,4,Salta,56.98,2023-10-01,58.1196,2.0000000000000027
2023,4,San Juan,50.08,2023-10-01,51.0816,2.000000000000007
2023,4,Santa Cruz,73.75,2023-10-01,75.225,1.9999999999999925
2023,4,Santiago Del Estero,49.08,2023-10-01,50.0616,2.000000000000001
2023,4,Tucumán,61.04,2023-10-01,62.2608,2.0000000000000067
2023,3,Catamarca,68.55,2023-07-01,69.92099999999999,1.9999999999999931
2023,3,Chaco,42.87,2023-07-01,43.727399999999996,1.9999999999999962
2023,3,Corrientes,52.78,2023-07-01,53.8356,1.999999999999997
2023,3,Entre Ríos,68.84,2023-07-01,70.2168,2.000000000000004
2023,3,Formosa,38.86,2023-07-01,39.6372,2.0000000000000013
2023,3,Jujuy,57.61,2023-07-01,58.7622,2.000000000000001
2023,3,Mendoza,52.03,2023-07-01,53.0706,1.9999999999999956
2023,3,Misiones,55.51,2023-07-01,56.6202,1.9999999999999982
2023,3,Río Negro,68.4,2023-07-01,69.768,1.9999999999999925
2023,3,Salta,57.57,2023-07-01,58.7214,2.000000000000004
2023,3,San Juan,50.45,2023-07-01,51.459,2.000000000000001
2023,3,Santa Cruz,40.89,2023-07-01,41.7078,1.9999999999999958
2023,3,Santiago Del Estero,48.67,2023-07-01,49.6434,1.9999999999999958
2023,3,Tucumán,61.26,2023-07-01,62.4852,2.0000000000000018
2023,2,Catamarca,67.42,2023-04-01,68.7684,1.999999999999997
2023,2,Chaco,42.87,2023-04-01,43.727399999999996,1.9999999999999962
2023,2,Corrientes,52.37,2023-04-01,53.4174,2.000000000000006
2023,2,Entre Ríos,64.43,2023-04-01,65.71860000000001,2.0000000000000036
2023,2,Formosa,38.32,2023-04-01,39.0864,1.9999999999999931
2023,2,Jujuy,57.78,2023-04-01,58.9356,1.9999999999999993
2023,2,Mendoza,52.09,2023-04-01,53.131800000000005,2.000000000000004
2023,2,Misiones,55.18,2023-04-01,56.2836,2.0000000000000004
2023,2,Río Negro,68.56,2023-04-01,69.9312,2.0000000000000027
2023,2,Salta,57.48,2023-04-01,58.629599999999996,1.9999999999999993
2023,2,San Juan,47.52,2023-04-01,48.470400000000005,2.000000000000004
2023,2,Santa Cruz,41.66,2023-04-01,42.493199999999995,1.9999999999999951
2023,2,Santiago Del Estero,47.14,2023-04-01,48.0828,1.9999999999999962
2023,2,Tucumán,60.75,2023-04-01,61.965,2.0000000000000058
2023,1,Catamarca,66.17,2023-01-01,67.49340000000001,2.0000000000000098
2023,1,Chaco,43.15,2023-01-01,44.013,1.9999999999999991
2023,1,Corrientes,52.05,2023-01-01,53.091,2.0000000000000075
2023,1,Entre Ríos,64.79,2023-01-01,66.0858,1.9999999999999998
2023,1,Formosa,38.79,2023-01-01,39.5658,2.0000000000000098
2023,1,Jujuy,58.2,2023-01-01,59.364000000000004,2.0000000000000027
2023,1,Mendoza,51.4,2023-01-01,52.428,1.9999999999999976
2023,1,Misiones,53.97,2023-01-01,55.0494,1.9999999999999993
2023,1,Río Negro,69.16,2023-01-01,70.5432,2.000000000000003
2023,1,Salta,57.67,2023-01-01,58.8234,1.9999999999999962
2023,1,San Juan,49.75,2023-01-01,50.745,1.999999999999995
2023,1,Santa Cruz,43.42,2023-01-01,44.2884,2.0000000000000027
2023,1,Santiago Del Estero,47.55,2023-01-01,48.501,2.000000000000001
2023,1,Tucumán,60.34,2023-01-01,61.546800000000005,2.0000000000000018
